Name,Year,genres,rating,votes,Key
Passing Fancy,1933.0,"['Drama', 'Romance']",7.2,1587,"('Passing Fancy', 1933.0)"
Design for Living,1933.0,"['Comedy', 'Mystery', 'Romance']",7.4,8517,"('Design for Living', 1933.0)"
The Devil's Brother,1933.0,"['Comedy', 'Musical']",7.1,2213,"(""The Devil's Brother"", 1933.0)"
Dinner at Eight,1933.0,['Drama'],7.5,9692,"('Dinner at Eight', 1933.0)"
Duck Soup,1933.0,"['Comedy', 'Musical']",7.7,65170,"('Duck Soup', 1933.0)"
The Eagle and the Hawk,1933.0,"['Action', 'Drama', 'War']",7.0,1522,"('The Eagle and the Hawk', 1933.0)"
Employees' Entrance,1933.0,"['Drama', 'Romance']",7.2,1841,"(""Employees' Entrance"", 1933.0)"
Footlight Parade,1933.0,"['Comedy', 'Musical', 'Romance']",7.5,6594,"('Footlight Parade', 1933.0)"
42nd Street,1933.0,"['Comedy', 'Drama', 'Musical']",7.3,13763,"('42nd Street', 1933.0)"
Gold Diggers of 1933,1933.0,"['Comedy', 'Drama', 'Musical']",7.7,9886,"('Gold Diggers of 1933', 1933.0)"
Heroes for Sale,1933.0,"['Drama', 'Romance', 'War']",7.4,2691,"('Heroes for Sale', 1933.0)"
The Invisible Man,1933.0,"['Horror', 'Sci-Fi']",7.6,43780,"('The Invisible Man', 1933.0)"
Island of Lost Souls,1932.0,"['Horror', 'Sci-Fi']",7.3,12165,"('Island of Lost Souls', 1932.0)"
